t4,x4,y4,z4,q1,q2,q3,q4,img
1533558235707,8.469848,0.000003,-6.967904,0.707063,-0.007834,0.007834,-0.707063,img_0_0_1533558236794880600.png
1533558235809,8.484228,0.000003,-6.968472,0.707074,-0.006796,0.006796,-0.707074,img_0_0_1533558236890808700.png
1533558235917,8.497302,0.000003,-6.969211,0.707083,-0.005832,0.005832,-0.707083,img_0_0_1533558236999349100.png
1533558235953,8.501222,0.000003,-6.969482,0.707085,-0.005540,0.005540,-0.707085,img_0_0_1533558237079647600.png
1533558236109,8.516023,0.000003,-6.970767,0.707093,-0.004426,0.004426,-0.707093,img_0_0_1533558237195377900.png
1533558236163,8.520410,0.000003,-6.971242,0.707095,-0.004094,0.004094,-0.707095,img_0_0_1533558237291543600.png
1533558236313,8.530594,0.000003,-6.973842,0.706930,-0.015800,0.015800,-0.706930,img_0_0_1533558237399583900.png
1533558236412,8.532605,0.000003,-6.980326,0.706647,-0.025507,0.025507,-0.706647,img_0_0_1533558237505541000.png
1533558236529,8.525708,0.000003,-6.993588,0.706435,-0.030823,0.030823,-0.706435,img_0_0_1533558237611427500.png
1533558236619,8.512226,0.000003,-7.007793,0.706343,-0.032857,0.032857,-0.706343,img_0_0_1533558237708027700.png
1533558236766,8.473532,0.000003,-7.038316,0.706269,-0.034407,0.034407,-0.706269,img_0_0_1533558237847796200.png
1533558236832,8.449876,0.000003,-7.048706,0.706837,-0.019532,0.019532,-0.706837,img_0_0_1533558237922331200.png
1533558236928,8.412642,0.000003,-7.042436,0.707099,-0.003305,0.003305,-0.707099,img_0_0_1533558238038440100.png
1533558237003,8.382727,0.000003,-7.034984,0.707093,0.004376,-0.004376,-0.707093,img_0_0_1533558238125336900.png
1533558237156,8.324435,0.000003,-7.024304,0.707016,0.011330,-0.011330,-0.707016,img_0_0_1533558238251454700.png
1533558237300,8.276109,0.000003,-7.019011,0.706994,0.012653,-0.012653,-0.706994,img_0_0_1533558238395205700.png
1533558237375,8.253833,0.000003,-7.017371,0.706998,0.012416,-0.012416,-0.706998,img_0_0_1533558238483045600.png
1533558237516,8.217188,0.000003,-7.015577,0.707018,0.011223,-0.011224,-0.707018,img_0_0_1533558238611562300.png
1533558237597,8.199009,0.000003,-7.015092,0.707031,0.010349,-0.010349,-0.707031,img_0_0_1533558238701476700.png
1533558237723,8.174449,0.000003,-7.014896,0.707050,0.008946,-0.008946,-0.707050,img_0_0_1533558238817443700.png
1533558237819,8.158438,0.000003,-7.015097,0.707062,0.007923,-0.007923,-0.707062,img_0_0_1533558238920925200.png
1533558237909,8.145287,0.000003,-7.015494,0.707072,0.007033,-0.007033,-0.707072,img_0_0_1533558239035828000.png
1533558238032,8.129850,0.000003,-7.016287,0.707082,0.005943,-0.005943,-0.707082,img_0_0_1533558239125987900.png
1533558238173,8.115224,0.000003,-7.017453,0.707090,0.004873,-0.004873,-0.707090,img_0_0_1533558239267800100.png
1533558238242,8.109087,0.000003,-7.018091,0.707093,0.004417,-0.004417,-0.707093,img_0_0_1533558239359473200.png
1533558238383,8.098308,0.000003,-7.019481,0.707098,0.003606,-0.003606,-0.707098,img_0_0_1533558239492849300.png
1533558238515,8.090044,0.000003,-7.020837,0.707101,0.002978,-0.002978,-0.707100,img_0_0_1533558239617837200.png
1533558238587,8.086164,0.000003,-7.021581,0.707102,0.002682,-0.002682,-0.707102,img_0_0_1533558239700891000.png
1533558238710,8.079762,0.000003,-7.024662,0.706951,-0.014826,0.014826,-0.706951,img_0_0_1533558239817188800.png
1533558238800,8.071795,0.000003,-7.031134,0.706700,-0.023975,0.023975,-0.706700,img_0_0_1533558239900992700.png
1533558238917,8.052989,0.000003,-7.044939,0.706464,-0.030139,0.030139,-0.706464,img_0_0_1533558240030788300.png
1533558238980,8.038062,0.000003,-7.054821,0.706386,-0.031921,0.031921,-0.706386,img_0_0_1533558240115709300.png
1533558239115,7.993566,0.000003,-7.081637,0.706291,-0.033949,0.033949,-0.706291,img_0_0_1533558240221829800.png
1533558239184,7.964062,0.000003,-7.097280,0.706520,-0.028800,0.028800,-0.706520,img_0_0_1533558240317412400.png
1533558239319,7.900139,0.000003,-7.092534,0.707107,0.000373,-0.000373,-0.707107,img_0_0_1533558240431530100.png
1533558239409,7.856874,0.000003,-7.084039,0.707052,0.008834,-0.008834,-0.707052,img_0_0_1533558240514812400.png
1533558239508,7.811565,0.000003,-7.077486,0.706978,0.013496,-0.013496,-0.706978,img_0_0_1533558240614208700.png
1533558239610,7.768744,0.000003,-7.073277,0.706944,0.015192,-0.015192,-0.706944,img_0_0_1533558240713744700.png
1533558239706,7.732477,0.000003,-7.070821,0.706943,0.015233,-0.015233,-0.706943,img_0_0_1533558240816202000.png
1533558239817,7.695434,0.000003,-7.069093,0.706962,0.014322,-0.014322,-0.706962,img_0_0_1533558240947876600.png
1533558239955,7.656209,0.000003,-7.067981,0.706995,0.012594,-0.012594,-0.706995,img_0_0_1533558241066450200.png
1533558240009,7.642741,0.000003,-7.067766,0.707007,0.011863,-0.011863,-0.707007,img_0_0_1533558241151568000.png
1533558240183,7.605630,0.000003,-7.067691,0.707042,0.009575,-0.009575,-0.707042,img_0_0_1533558241286774000.png
1533558240279,7.588748,0.000003,-7.067966,0.707057,0.008430,-0.008430,-0.707057,img_0_0_1533558241384080500.png
