timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,pos_itow,fix_quality,sacc,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
14739371,0,307872066,1038586443,565996,525718,357613600,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.04,-0.01,0.0,-0.04,-1.5707965,-14739371,6,1,17
14947941,0,307872066,1038586443,565994,525715,357613800,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.07,0.02,0.01,0.06,-1.5707965,-14947941,6,1,17
15159032,0,307872066,1038586443,565997,525718,357614000,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.04,-0.01,0.0,-0.03,-1.5707965,-15159032,6,1,17
15348290,0,307872066,1038586443,565997,525718,357614200,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.04,0.0,0.0,0.04,-1.5707965,-15348290,6,1,17
15537955,0,307872066,1038586443,565997,525718,357614400,0,0,0.0,0.0,0.008,0.008,0.79999995,1.89,0,0,0.02,0.02,0.0,0.0,-1.5707965,-15537955,6,1,17
15745870,0,307872066,1038586443,565997,525718,357614600,0,0,0.0,0.0,0.008,0.008,0.79999995,1.89,0,0,0.02,0.0,0.0,-0.01,-1.5707965,-15745870,6,1,17
15955986,0,307872066,1038586443,565996,525718,357614800,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.06,-0.01,0.0,0.06,-1.5707965,-15955986,6,1,17
16145901,0,307872066,1038586443,565998,525719,357615000,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.049999997,0.0,0.0,0.049999997,-1.5707965,-16145901,6,1,17
16355951,0,307872066,1038586443,565998,525719,357615200,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.01,0.0,0.0,0.0,-1.5707965,-16355951,6,1,17
16546278,0,307872066,1038586443,565997,525718,357615400,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.0,0.0,0.0,0.0,-1.5707965,-16546278,6,1,17
