timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure
176221724,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
177225824,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
178230754,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
179230788,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
180233731,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
181235108,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
182239754,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
183244779,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
184247927,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
185248368,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
186254915,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
187265552,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
188270833,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
189275273,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
190277756,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
191281724,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
192288893,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
193289763,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
194298550,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
195305722,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
196310799,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
197317740,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
198320500,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
199329367,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
200329723,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
201335834,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
202338964,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
203341783,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
204350722,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
205351738,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
206361829,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
207370624,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
